id(勿改),中文名(可修改),英文名,部位,器械,状态,说明
1679,哑铃坐姿单臂肱二头肌弯举（健身球·腿抬高）,dumbbell seated one arm bicep curl on exercise ball with leg raised,上臂,哑铃,review,译名过长
1684,哑铃登台阶单腿平衡（肱二头肌弯举）,dumbbell step up single leg balance with bicep curl,上臂,哑铃,review,译名过长
1689,推拉,push and pull bodyweight,胸部,徒手,review,原名 4 词译名仅 2 字，可能漏译
1731,哑铃窄距推举（2）,dumbbell close grip press,上臂,哑铃,review,含序号，可能可消歧
1766,自体反向腿弯举（2）,self assisted inverse leg curl,大腿,徒手,review,含序号，可能可消歧
2321,哑铃站姿内侧肱二头肌弯举（第2式）,dumbbell standing inner biceps curl v. 2,上臂,哑铃,review,译名过长
2406,绳索反握肱三头肌下压（曲杆杠·臂托）,cable reverse grip triceps pushdown (sz-bar) (with arm blaster),上臂,绳索,review,译名过长
2801,转体抬腿,twisted leg raise (female),腰腹,徒手,review,原名 4 词译名仅 4 字，可能漏译
3221,半程屈膝,half knee bends (male),有氧,徒手,review,原名 4 词译名仅 4 字，可能漏译
3231,双体前屈,two toe touch (male),背部,徒手,review,原名 4 词译名仅 4 字，可能漏译
3543,下放蹲跳,bodyweight drop jump squat,大腿,徒手,review,原名 4 词译名仅 4 字，可能漏译
3636,高膝靠墙,high knee against wall,有氧,徒手,review,原名 4 词译名仅 4 字，可能漏译
0001,四分之三仰卧起坐,3/4 sit-up,腰腹,徒手,ok,
0002,45°侧屈,45° side bend,腰腹,徒手,ok,
0003,空中单车,air bike,腰腹,徒手,ok,
0006,交替触踵,alternate heel touchers,腰腹,徒手,ok,
0007,绳索交替侧向下拉,alternate lateral pulldown,背部,绳索,ok,
0009,器械胸臂屈伸（跪姿）,assisted chest dip (kneeling),胸部,器械,ok,
0010,助力悬垂抬膝（下投）,assisted hanging knee raise with throw down,腰腹,助力,ok,
0011,助力悬垂抬膝,assisted hanging knee raise,腰腹,助力,ok,
0012,助力仰卧抬腿（侧向下投）,assisted lying leg raise with lateral throw down,腰腹,助力,ok,
0013,助力仰卧抬腿（下投）,assisted lying leg raise with throw down,腰腹,助力,ok,
0014,药球动作俄罗斯转体,assisted motion russian twist,腰腹,药球,ok,
0015,器械平行窄距引体向上,assisted parallel close grip pull-up,背部,器械,ok,
0016,助力俯卧腘绳肌,assisted prone hamstring,大腿,助力,ok,
0017,器械引体向上,assisted pull-up,背部,器械,ok,
0018,助力站姿肱三头肌伸展（毛巾）,assisted standing triceps extension (with towel),上臂,助力,ok,
0019,器械肱三头肌臂屈伸（跪姿）,assisted triceps dip (kneeling),上臂,器械,ok,
0020,平衡板,balance board,大腿,徒手,ok,
0022,杠铃仰卧上拉推举,barbell pullover to press,背部,杠铃,ok,
0023,杠铃交替肱二头肌弯举,barbell alternate biceps curl,上臂,杠铃,ok,
0024,杠铃凳前蹲,barbell bench front squat,大腿,杠铃,ok,
0025,杠铃卧推,barbell bench press,胸部,杠铃,ok,
0026,杠铃凳深蹲,barbell bench squat,大腿,杠铃,ok,
0027,杠铃俯身划船,barbell bent over row,背部,杠铃,ok,
0028,杠铃高翻推举,barbell clean and press,大腿,杠铃,ok,
0029,杠铃高翻握前蹲,barbell clean-grip front squat,大腿,杠铃,ok,
0030,杠铃窄距卧推,barbell close-grip bench press,上臂,杠铃,ok,
0031,杠铃弯举,barbell curl,上臂,杠铃,ok,
0032,杠铃硬拉,barbell deadlift,大腿,杠铃,ok,
0033,杠铃下斜卧推,barbell decline bench press,胸部,杠铃,ok,
0034,杠铃下斜屈臂仰卧上拉,barbell decline bent arm pullover,背部,杠铃,ok,
0035,杠铃下斜窄距碎颅推举,barbell decline close grip to skull press,上臂,杠铃,ok,
0036,杠铃下斜宽距推举,barbell decline wide-grip press,胸部,杠铃,ok,
0037,杠铃下斜宽距仰卧上拉,barbell decline wide-grip pullover,背部,杠铃,ok,
0038,杠铃拖拽弯举,barbell drag curl,上臂,杠铃,ok,
0039,杠铃前胸深蹲,barbell front chest squat,大腿,杠铃,ok,
0040,杠铃前平举仰卧上拉,barbell front raise and pullover,胸部,杠铃,ok,
0041,杠铃前平举,barbell front raise,肩部,杠铃,ok,
0042,杠铃前蹲,barbell front squat,大腿,杠铃,ok,
0043,杠铃全程深蹲,barbell full squat,大腿,杠铃,ok,
0044,杠铃早安式,barbell good morning,大腿,杠铃,ok,
0045,杠铃断头台式卧推,barbell guillotine bench press,胸部,杠铃,ok,
0046,杠铃哈克深蹲,barbell hack squat,大腿,杠铃,ok,
0047,杠铃上斜卧推,barbell incline bench press,胸部,杠铃,ok,
0048,杠铃上斜反握推举,barbell incline reverse-grip press,上臂,杠铃,ok,
0049,杠铃上斜划船,barbell incline row,背部,杠铃,ok,
0050,杠铃上斜肩上举,barbell incline shoulder raise,胸部,杠铃,ok,
0051,杠铃杰斐逊深蹲,barbell jefferson squat,大腿,杠铃,ok,
0052,杠铃JM卧推,barbell jm bench press,上臂,杠铃,ok,
0053,杠铃蹲跳,barbell jump squat,大腿,杠铃,ok,
0054,杠铃弓步,barbell lunge,大腿,杠铃,ok,
0055,杠铃仰卧窄距推举,barbell lying close-grip press,上臂,杠铃,ok,
0056,杠铃仰卧窄距肱三头肌伸展,barbell lying close-grip triceps extension,上臂,杠铃,ok,
0057,杠铃仰卧伸展,barbell lying extension,上臂,杠铃,ok,
0058,杠铃仰卧提举（髋）,barbell lying lifting (on hip),大腿,杠铃,ok,
0059,杠铃仰卧牧师凳弯举,barbell lying preacher curl,上臂,杠铃,ok,
0060,杠铃仰卧肱三头肌伸展碎颅者,barbell lying triceps extension skull crusher,上臂,杠铃,ok,
0061,杠铃仰卧肱三头肌伸展,barbell lying triceps extension,上臂,杠铃,ok,
0063,杠铃窄站姿深蹲,barbell narrow stance squat,大腿,杠铃,ok,
0064,杠铃单臂俯身划船,barbell one arm bent over row,背部,杠铃,ok,
0065,杠铃单臂地面推举,barbell one arm floor press,上臂,杠铃,ok,
0066,杠铃单臂侧硬拉,barbell one arm side deadlift,大腿,杠铃,ok,
0067,杠铃单臂抓举,barbell one arm snatch,肩部,杠铃,ok,
0068,杠铃单腿深蹲,barbell one leg squat,大腿,杠铃,ok,
0069,杠铃过头深蹲,barbell overhead squat,大腿,杠铃,ok,
0070,杠铃牧师凳弯举,barbell preacher curl,上臂,杠铃,ok,
0071,杠铃推举仰卧起坐,barbell press sit-up,腰腹,杠铃,ok,
0072,杠铃俯卧上斜弯举,barbell prone incline curl,上臂,杠铃,ok,
0073,杠铃仰卧上拉,barbell pullover,背部,杠铃,ok,
0074,杠铃架拉,barbell rack pull,大腿,杠铃,ok,
0075,杠铃后束上举,barbell rear delt raise,肩部,杠铃,ok,
0076,杠铃后束划船,barbell rear delt row,肩部,杠铃,ok,
0077,杠铃后弓步（第2式）,barbell rear lunge v. 2,大腿,杠铃,ok,
0078,杠铃后弓步,barbell rear lunge,大腿,杠铃,ok,
0079,杠铃反向腕弯举（第2式）,barbell revers wrist curl v. 2,前臂,杠铃,ok,
0080,杠铃反向弯举,barbell reverse curl,上臂,杠铃,ok,
0081,杠铃反向牧师凳弯举,barbell reverse preacher curl,上臂,杠铃,ok,
0082,杠铃反向腕弯举,barbell reverse wrist curl,前臂,杠铃,ok,
0083,杠铃健腹轮凳,barbell rollerout from bench,腰腹,杠铃,ok,
0084,杠铃健腹轮,barbell rollerout,腰腹,杠铃,ok,
0085,杠铃罗马尼亚硬拉,barbell romanian deadlift,大腿,杠铃,ok,
0086,杠铃坐姿背后头军式推举,barbell seated behind head military press,肩部,杠铃,ok,
0087,杠铃坐姿布拉德福德洛奇推举,barbell seated bradford rocky press,肩部,杠铃,ok,
0088,杠铃坐姿提踵,barbell seated calf raise,小腿,杠铃,ok,
0089,杠铃坐姿窄距集中弯举,barbell seated close-grip concentration curl,上臂,杠铃,ok,
0090,杠铃坐姿早安式,barbell seated good morning,大腿,杠铃,ok,
0091,杠铃坐姿过头推举,barbell seated overhead press,肩部,杠铃,ok,
0092,杠铃坐姿过头肱三头肌伸展,barbell seated overhead triceps extension,上臂,杠铃,ok,
0094,杠铃坐姿转体,barbell seated twist,腰腹,杠铃,ok,
0095,杠铃耸肩,barbell shrug,背部,杠铃,ok,
0096,杠铃侧屈（第2式）,barbell side bent v. 2,腰腹,杠铃,ok,
0097,杠铃侧分腿蹲（第2式）,barbell side split squat v. 2,大腿,杠铃,ok,
0098,杠铃侧分腿蹲,barbell side split squat,大腿,杠铃,ok,
0099,杠铃单腿分腿蹲,barbell single leg split squat,大腿,杠铃,ok,
0100,杠铃滑雪者,barbell skier,肩部,杠铃,ok,
0101,杠铃速度深蹲,barbell speed squat,大腿,杠铃,ok,
0102,杠铃深蹲（跪姿）,barbell squat (on knees),大腿,杠铃,ok,
0103,杠铃站姿腹健腹轮,barbell standing ab rollerout,腰腹,杠铃,ok,
0104,杠铃站姿背腕弯举,barbell standing back wrist curl,前臂,杠铃,ok,
0105,杠铃站姿布拉德福德推举,barbell standing bradford press,肩部,杠铃,ok,
0106,杠铃站姿窄距弯举,barbell standing close grip curl,上臂,杠铃,ok,
0107,杠铃站姿前平举越过头,barbell standing front raise over head,肩部,杠铃,ok,
0108,杠铃站姿腿提踵,barbell standing leg calf raise,小腿,杠铃,ok,
0109,杠铃站姿过头肱三头肌伸展,barbell standing overhead triceps extension,上臂,杠铃,ok,
0110,杠铃站姿反握弯举,barbell standing reverse grip curl,上臂,杠铃,ok,
0111,杠铃站姿摇摆腿提踵,barbell standing rocking leg calf raise,小腿,杠铃,ok,
0112,杠铃站姿转体,barbell standing twist,腰腹,杠铃,ok,
0113,杠铃站姿宽距弯举,barbell standing wide-grip curl,上臂,杠铃,ok,
0114,杠铃登台阶,barbell step-up,大腿,杠铃,ok,
0115,杠铃直腿早安式,barbell stiff leg good morning,大腿,杠铃,ok,
0116,杠铃直腿硬拉,barbell straight leg deadlift,大腿,杠铃,ok,
0117,杠铃相扑硬拉,barbell sumo deadlift,大腿,杠铃,ok,
0118,杠铃反握俯身划船,barbell reverse grip bent over row,背部,杠铃,ok,
0119,杠铃直立划船（第2式）,barbell upright row v. 2,肩部,杠铃,ok,
0120,杠铃直立划船,barbell upright row,肩部,杠铃,ok,
0121,杠铃直立划船（第3式）,barbell upright row v. 3,肩部,杠铃,ok,
0122,杠铃宽卧推,barbell wide bench press,胸部,杠铃,ok,
0123,杠铃宽距直立划船,barbell wide-grip upright row,肩部,杠铃,ok,
0124,杠铃宽深蹲,barbell wide squat,大腿,杠铃,ok,
0125,杠铃腕弯举（第2式）,barbell wrist curl v. 2,前臂,杠铃,ok,
0126,杠铃腕弯举,barbell wrist curl,前臂,杠铃,ok,
0127,杠铃泽奇深蹲,barbell zercher squat,大腿,杠铃,ok,
0129,凳臂屈伸（屈膝）,bench dip (knees bent),上臂,徒手,ok,
0130,凳髋伸展,bench hip extension,大腿,徒手,ok,
0137,身体上,body-up,上臂,徒手,ok,
0138,托举,bottoms-up,腰腹,徒手,ok,
0139,肱二头肌窄引体向上,biceps narrow pull-ups,上臂,徒手,ok,
0140,肱二头肌引体向上,biceps pull-up,上臂,徒手,ok,
0148,绳索交替肩推,cable alternate shoulder press,肩部,绳索,ok,
0149,绳索交替肱三头肌伸展,cable alternate triceps extension,上臂,绳索,ok,
0150,绳索杠侧向下拉,cable bar lateral pulldown,背部,绳索,ok,
0151,绳索卧推,cable bench press,胸部,绳索,ok,
0152,绳索集中伸展（跪姿）,cable concentration extension (on knee),上臂,绳索,ok,
0153,绳索交叉夹胸侧向下拉,cable cross-over lateral pulldown,背部,绳索,ok,
0154,绳索交叉夹胸反向飞鸟,cable cross-over revers fly,肩部,绳索,ok,
0155,绳索交叉夹胸,cable cross-over variation,胸部,绳索,ok,
0157,绳索硬拉,cable deadlift,大腿,绳索,ok,
0158,绳索下斜飞鸟,cable decline fly,胸部,绳索,ok,
0159,绳索下斜坐姿宽距划船,cable decline seated wide-grip row,背部,绳索,ok,
0160,绳索地面坐姿宽距划船,cable floor seated wide-grip row,背部,绳索,ok,
0161,绳索向前上举,cable forward raise,肩部,绳索,ok,
0162,绳索前平举,cable front raise,肩部,绳索,ok,
0164,绳索前肩上举,cable front shoulder raise,肩部,绳索,ok,
0165,绳索锤式弯举（绳）,cable hammer curl (with rope),上臂,绳索,ok,
0167,绳索高划船（跪姿）,cable high row (kneeling),背部,绳索,ok,
0168,绳索髋内收,cable hip adduction,大腿,绳索,ok,
0169,绳索上斜卧推,cable incline bench press,胸部,绳索,ok,
0170,绳索上斜飞鸟（健身球）,cable incline fly (on stability ball),胸部,绳索,ok,
0171,绳索上斜飞鸟,cable incline fly,胸部,绳索,ok,
0172,绳索上斜下压,cable incline pushdown,背部,绳索,ok,
0173,绳索上斜肱三头肌伸展,cable incline triceps extension,上臂,绳索,ok,
0174,绳索柔道翻转,cable judo flip,腰腹,绳索,ok,
0175,绳索跪姿卷腹,cable kneeling crunch,腰腹,绳索,ok,
0176,绳索跪姿肱三头肌伸展,cable kneeling triceps extension,上臂,绳索,ok,
0177,绳索侧向下拉（绳附件）,cable lateral pulldown (with rope attachment),背部,绳索,ok,
0178,绳索侧平举,cable lateral raise,肩部,绳索,ok,
0179,绳索低飞鸟,cable low fly,胸部,绳索,ok,
0180,绳索低坐姿划船,cable low seated row,背部,绳索,ok,
0182,绳索仰卧窄距弯举,cable lying close-grip curl,上臂,绳索,ok,
0184,绳索仰卧伸展仰卧上拉（绳附件）,cable lying extension pullover (with rope attachment),背部,绳索,ok,
0185,绳索仰卧飞鸟,cable lying fly,胸部,绳索,ok,
0186,绳索仰卧肱三头肌伸展（第2式）,cable lying triceps extension v. 2,上臂,绳索,ok,
0188,绳索中飞鸟,cable middle fly,胸部,绳索,ok,
0189,绳索单臂俯身划船,cable one arm bent over row,背部,绳索,ok,
0190,绳索单臂弯举,cable one arm curl,上臂,绳索,ok,
0191,绳索单臂侧向俯身,cable one arm lateral bent-over,胸部,绳索,ok,
0192,绳索单臂侧平举,cable one arm lateral raise,肩部,绳索,ok,
0193,绳索单臂直背高划船（跪姿）,cable one arm straight back high row (kneeling),背部,绳索,ok,
0194,绳索过头肱三头肌伸展（绳附件）,cable overhead triceps extension (rope attachment),上臂,绳索,ok,
0195,绳索牧师凳弯举,cable preacher curl,上臂,绳索,ok,
0196,绳索穿越拉（绳）,cable pull through (with rope),大腿,绳索,ok,
0197,绳索下拉（专业背阔肌杠）,cable pulldown (pro lat bar),背部,绳索,ok,
0198,绳索下拉,cable pulldown,背部,绳索,ok,
0199,绳索下压（直臂）（第2式）,cable pushdown (straight arm) v. 2,背部,绳索,ok,
0200,绳索下压（绳附件）,cable pushdown (with rope attachment),上臂,绳索,ok,
0201,绳索下压,cable pushdown,上臂,绳索,ok,
0202,绳索后束划船（马镫把手）,cable rear delt row (stirrups),肩部,绳索,ok,
0203,绳索后束划船（绳）,cable rear delt row (with rope),肩部,绳索,ok,
0204,绳索后驱动,cable rear drive,上臂,绳索,ok,
0205,绳索后下拉,cable rear pulldown,背部,绳索,ok,
0206,绳索反向弯举,cable reverse curl,上臂,绳索,ok,
0207,绳索反握下压,cable reverse-grip pushdown,上臂,绳索,ok,
0208,绳索反握直背坐姿高划船,cable reverse-grip straight back seated high row,背部,绳索,ok,
0209,绳索反向牧师凳弯举,cable reverse preacher curl,上臂,绳索,ok,
0210,绳索反向腕弯举,cable reverse wrist curl,前臂,绳索,ok,
0211,绳索俄罗斯转体（健身球）,cable russian twists (on stability ball),腰腹,绳索,ok,
0212,绳索坐姿卷腹,cable seated crunch,腰腹,绳索,ok,
0213,绳索坐姿高划船（V字杠）,cable seated high row (v-bar),背部,绳索,ok,
0214,绳索坐姿单臂交替划船,cable seated one arm alternate row,背部,绳索,ok,
0215,绳索坐姿后侧平举,cable seated rear lateral raise,肩部,绳索,ok,
0216,绳索坐姿肩内旋旋转,cable seated shoulder internal rotation,肩部,绳索,ok,
0218,绳索坐姿宽距划船,cable seated wide-grip row,背部,绳索,ok,
0219,绳索肩推,cable shoulder press,肩部,绳索,ok,
0220,绳索耸肩,cable shrug,背部,绳索,ok,
0221,绳索侧屈卷腹（波速球）,cable side bend crunch (bosu ball),腰腹,绳索,ok,
0222,绳索侧屈,cable side bend,腰腹,绳索,ok,
0223,绳索侧卷腹,cable side crunch,腰腹,绳索,ok,
0224,绳索站姿背腕弯举,cable standing back wrist curl,前臂,绳索,ok,
0225,绳索站姿交叉夹胸高反向飞鸟,cable standing cross-over high reverse fly,肩部,绳索,ok,
0226,绳索站姿卷腹,cable standing crunch,腰腹,绳索,ok,
0227,绳索站姿飞鸟,cable standing fly,胸部,绳索,ok,
0228,绳索站姿髋伸展,cable standing hip extension,大腿,绳索,ok,
0229,绳索站姿内侧弯举,cable standing inner curl,上臂,绳索,ok,
0230,绳索站姿提举,cable standing lift,腰腹,绳索,ok,
0231,绳索站姿单臂肱三头肌伸展,cable standing one arm triceps extension,上臂,绳索,ok,
0232,绳索站姿下拉（绳）,cable standing pulldown (with rope),上臂,绳索,ok,
0233,绳索站姿后束划船（绳）,cable standing rear delt row (with rope),肩部,绳索,ok,
0234,绳索站姿划船（V字杠）,cable standing row (v-bar),背部,绳索,ok,
0235,绳索站姿肩外旋旋转,cable standing shoulder external rotation,肩部,绳索,ok,
0236,绳索站姿转体划船（V字杠）,cable standing twist row (v-bar),背部,绳索,ok,
0237,绳索直臂下拉（绳）,cable straight arm pulldown (with rope),背部,绳索,ok,
0238,绳索直臂下拉,cable straight arm pulldown,背部,绳索,ok,
0239,绳索直背坐姿划船,cable straight back seated row,背部,绳索,ok,
0240,绳索仰卧反向飞鸟,cable supine reverse fly,肩部,绳索,ok,
0241,绳索肱三头肌下压（V字杠）,cable triceps pushdown (v-bar),上臂,绳索,ok,
0242,绳索团身反向卷腹,cable tuck reverse crunch,腰腹,绳索,ok,
0243,绳索转体,cable twist,腰腹,绳索,ok,
0244,绳索转体拉,cable twisting pull,背部,绳索,ok,
0245,绳索反握下拉,cable underhand pulldown,背部,绳索,ok,
0246,绳索直立划船,cable upright row,肩部,绳索,ok,
0247,绳索腕弯举,cable wrist curl,前臂,绳索,ok,
0248,杠铃弧形杠仰卧划船,cambered bar lying row,背部,杠铃,ok,
0251,胸臂屈伸,chest dip,胸部,徒手,ok,
0253,反握引体向上（窄平行握）,chin-ups (narrow parallel grip),背部,徒手,ok,
0257,绕环膝拉伸,circles knee stretch,小腿,徒手,ok,
0258,时钟俯卧撑,clock push-up,胸部,徒手,ok,
0259,窄距俯卧撑,close-grip push-up,上臂,徒手,ok,
0260,蚕茧式,cocoons,腰腹,徒手,ok,
0262,交叉身体卷腹,cross body crunch,腰腹,徒手,ok,
0267,卷腹（手过头）,crunch (hands overhead),腰腹,徒手,ok,
0271,健身球卷腹,crunch (on stability ball),腰腹,健身球,ok,
0272,健身球卷腹（健身球臂直）,"crunch (on stability ball, arms straight)",腰腹,健身球,ok,
0274,卷腹地面,crunch floor,腰腹,徒手,ok,
0276,死虫式,dead bug,腰腹,徒手,ok,
0277,下斜卷腹,decline crunch,腰腹,徒手,ok,
0279,下斜俯卧撑,decline push-up,胸部,徒手,ok,
0282,下斜仰卧起坐,decline sit-up,腰腹,徒手,ok,
0283,钻石俯卧撑,diamond push-up,上臂,徒手,ok,
0284,驴式提踵,donkey calf raise,小腿,徒手,ok,
0285,哑铃交替肱二头肌弯举,dumbbell alternate biceps curl,上臂,哑铃,ok,
0286,哑铃交替侧推举,dumbbell alternate side press,肩部,哑铃,ok,
0287,哑铃阿诺德推举（第2式）,dumbbell arnold press v. 2,肩部,哑铃,ok,
0288,哑铃环绕仰卧上拉,dumbbell around pullover,胸部,哑铃,ok,
0289,哑铃卧推,dumbbell bench press,胸部,哑铃,ok,
0290,哑铃凳坐姿推举,dumbbell bench seated press,肩部,哑铃,ok,
0291,哑铃凳深蹲,dumbbell bench squat,大腿,哑铃,ok,
0292,哑铃单臂俯身划船,dumbbell one arm bent-over row,背部,哑铃,ok,
0293,哑铃俯身划船,dumbbell bent over row,背部,哑铃,ok,
0294,哑铃肱二头肌弯举,dumbbell biceps curl,上臂,哑铃,ok,
0295,哑铃高翻,dumbbell clean,大腿,哑铃,ok,
0296,哑铃窄距推举,dumbbell close-grip press,上臂,哑铃,ok,
0297,哑铃集中弯举,dumbbell concentration curl,上臂,哑铃,ok,
0298,哑铃交叉身体锤式弯举,dumbbell cross body hammer curl,上臂,哑铃,ok,
0299,哑铃古巴推举,dumbbell cuban press,肩部,哑铃,ok,
0300,哑铃硬拉,dumbbell deadlift,大腿,哑铃,ok,
0301,哑铃下斜卧推,dumbbell decline bench press,胸部,哑铃,ok,
0302,哑铃下斜飞鸟,dumbbell decline fly,胸部,哑铃,ok,
0303,哑铃下斜锤推举,dumbbell decline hammer press,胸部,哑铃,ok,
0304,哑铃下斜耸肩（第2式）,dumbbell decline shrug v. 2,背部,哑铃,ok,
0305,哑铃下斜耸肩,dumbbell decline shrug,背部,哑铃,ok,
0306,哑铃下斜肱三头肌伸展,dumbbell decline triceps extension,上臂,哑铃,ok,
0307,哑铃下斜转体飞鸟,dumbbell decline twist fly,胸部,哑铃,ok,
0308,哑铃飞鸟,dumbbell fly,胸部,哑铃,ok,
0309,哑铃前平举（第2式）,dumbbell front raise v. 2,肩部,哑铃,ok,
0310,哑铃前平举,dumbbell front raise,肩部,哑铃,ok,
0311,哑铃全程罐侧平举,dumbbell full can lateral raise,肩部,哑铃,ok,
0312,哑铃锤式弯举（第2式）,dumbbell hammer curl v. 2,上臂,哑铃,ok,
0313,哑铃锤式弯举,dumbbell hammer curl,上臂,哑铃,ok,
0314,哑铃上斜卧推,dumbbell incline bench press,胸部,哑铃,ok,
0315,哑铃上斜肱二头肌弯举,dumbbell incline biceps curl,上臂,哑铃,ok,
0316,哑铃上斜繁殖,dumbbell incline breeding,胸部,哑铃,ok,
0317,哑铃上斜弯举（第2式）,dumbbell incline curl v. 2,上臂,哑铃,ok,
0318,哑铃上斜弯举,dumbbell incline curl,上臂,哑铃,ok,
0319,哑铃上斜飞鸟,dumbbell incline fly,胸部,哑铃,ok,
0320,哑铃上斜锤式弯举,dumbbell incline hammer curl,上臂,哑铃,ok,
0321,哑铃上斜锤推举,dumbbell incline hammer press,胸部,哑铃,ok,
0322,哑铃上斜内侧肱二头肌弯举,dumbbell incline inner biceps curl,上臂,哑铃,ok,
0323,哑铃上斜单臂侧平举,dumbbell incline one arm lateral raise,肩部,哑铃,ok,
0324,哑铃上斜掌推举,dumbbell incline palm-in press,胸部,哑铃,ok,
0325,哑铃上斜上举,dumbbell incline raise,肩部,哑铃,ok,
0326,哑铃上斜后侧平举,dumbbell incline rear lateral raise,肩部,哑铃,ok,
0327,哑铃上斜划船,dumbbell incline row,背部,哑铃,ok,
0328,哑铃上斜肩上举,dumbbell incline shoulder raise,胸部,哑铃,ok,
0329,哑铃上斜耸肩,dumbbell incline shrug,背部,哑铃,ok,
0330,哑铃上斜肱三头肌伸展,dumbbell incline triceps extension,上臂,哑铃,ok,
0331,哑铃上斜转体飞鸟,dumbbell incline twisted flyes,胸部,哑铃,ok,
0332,哑铃铁十字,dumbbell iron cross,肩部,哑铃,ok,
0333,哑铃后踢,dumbbell kickback,上臂,哑铃,ok,
0334,哑铃侧平举,dumbbell lateral raise,肩部,哑铃,ok,
0335,哑铃侧向前平举,dumbbell lateral to front raise,肩部,哑铃,ok,
0336,哑铃弓步,dumbbell lunge,大腿,哑铃,ok,
0337,哑铃仰卧伸展（横跨面）,dumbbell lying extension (across face),上臂,哑铃,ok,
0338,哑铃仰卧肘推举,dumbbell lying elbow press,上臂,哑铃,ok,
0339,哑铃仰卧股,dumbbell lying femoral,大腿,哑铃,ok,
0340,哑铃仰卧锤推举,dumbbell lying hammer press,胸部,哑铃,ok,
0341,哑铃仰卧单臂三角肌后,dumbbell lying one arm deltoid rear,肩部,哑铃,ok,
0342,哑铃仰卧单臂推举（第2式）,dumbbell lying one arm press v. 2,胸部,哑铃,ok,
0343,哑铃仰卧单臂推举,dumbbell lying one arm press,胸部,哑铃,ok,
0344,哑铃仰卧单臂正握肱三头肌伸展,dumbbell lying one arm pronated triceps extension,上臂,哑铃,ok,
0345,哑铃仰卧单臂后侧平举,dumbbell lying one arm rear lateral raise,肩部,哑铃,ok,
0346,哑铃仰卧单臂反握肱三头肌伸展,dumbbell lying one arm supinated triceps extension,上臂,哑铃,ok,
0347,哑铃仰卧旋前,dumbbell lying pronation,前臂,哑铃,ok,
0348,哑铃仰卧后侧平举,dumbbell lying rear lateral raise,肩部,哑铃,ok,
0349,哑铃仰卧旋后,dumbbell lying supination,前臂,哑铃,ok,
0350,哑铃仰卧弯举,dumbbell lying supine curl,上臂,哑铃,ok,
0351,哑铃仰卧肱三头肌伸展,dumbbell lying triceps extension,上臂,哑铃,ok,
0352,哑铃中立握卧推,dumbbell neutral grip bench press,上臂,哑铃,ok,
0353,哑铃单臂集中弯举（健身球）,dumbbell one arm concentration curl (on stability ball),上臂,哑铃,ok,
0354,哑铃单臂后踢,dumbbell one arm kickback,上臂,哑铃,ok,
0355,哑铃单臂侧平举,dumbbell one arm lateral raise,肩部,哑铃,ok,
0356,哑铃单臂侧平举（支撑）,dumbbell one arm lateral raise with support,肩部,哑铃,ok,
0358,哑铃单臂反向腕弯举,dumbbell one arm reverse wrist curl,前臂,哑铃,ok,
0359,哑铃单臂反向飞鸟（支撑）,dumbbell one arm reverse fly (with support),肩部,哑铃,ok,
0360,哑铃单臂肩推（第2式）,dumbbell one arm shoulder press v. 2,肩部,哑铃,ok,
0361,哑铃单臂肩推,dumbbell one arm shoulder press,肩部,哑铃,ok,
